01-10 17:09:29: Training starting...
01-10 17:09:31: New best reward 17.0 (-100.0%) at episode 0, saving model...
01-10 17:09:31: New best reward 24.0 (+41.2%) at episode 3, saving model...
01-10 17:09:32: New best reward 76.0 (+216.7%) at episode 13, saving model...
01-10 17:09:33: New best reward 95.0 (+25.0%) at episode 282, saving model...
01-10 17:09:35: New best reward 97.0 (+2.1%) at episode 420, saving model...
01-10 17:09:35: New best reward 123.0 (+26.8%) at episode 422, saving model...
01-10 17:09:37: New best reward 137.0 (+11.4%) at episode 614, saving model...
01-10 17:09:38: New best reward 168.0 (+22.6%) at episode 654, saving model...
01-10 17:09:38: New best reward 181.0 (+7.7%) at episode 679, saving model...
01-10 17:09:40: New best reward 230.0 (+27.1%) at episode 784, saving model...
01-10 17:09:42: New best reward 256.0 (+11.3%) at episode 936, saving model...
01-10 17:09:43: New best reward 327.0 (+27.7%) at episode 943, saving model...
01-10 17:09:47: New best reward 331.0 (+1.2%) at episode 1110, saving model...
01-10 17:09:48: New best reward 342.0 (+3.3%) at episode 1144, saving model...
01-10 17:09:50: New best reward 393.0 (+14.9%) at episode 1236, saving model...
