01-10 20:15:05: Training starting...
01-10 20:15:07: New best reward 0.8 (-100.0%) at episode 0, saving model...
01-10 20:15:07: New best reward 2.1 (+162.5%) at episode 4, saving model...
01-10 20:15:08: New best reward 2.7 (+28.6%) at episode 5, saving model...
01-10 20:15:17: New best reward 5.5 (+103.7%) at episode 50, saving model...
01-10 20:22:13: New best reward 6.1 (+10.9%) at episode 1823, saving model...
01-10 20:24:58: New best reward 7.0 (+14.8%) at episode 2508, saving model...
01-10 20:25:01: New best reward 8.0 (+14.3%) at episode 2517, saving model...
01-10 20:27:12: New best reward 10.0 (+25.0%) at episode 3042, saving model...
01-10 20:31:47: New best reward 13.8 (+38.0%) at episode 4119, saving model...
01-10 20:31:52: New best reward 28.2 (+104.3%) at episode 4127, saving model...
01-10 20:50:50: New best reward 52.1 (+84.8%) at episode 7777, saving model...
